flight_number,aircraft_tail,origin_iata,destination_iata,scheduled_departure,scheduled_arrival,hour_of_day,day_of_week,is_weekend,month,turnaround_time_min,dep_temperature_c,dep_wind_speed_kmh,dep_visibility_m,dep_humidity_pct,dep_congestion_ratio
FL1018,VT-001,MAA,CCU,2026-04-05 04:59:00,2026-04-05 06:14:00,4,6,1,4,52,30.35,11.29,6068.57,85.38,0.47
FL1019,VT-001,CCU,DEL,2026-04-05 07:06:00,2026-04-05 08:12:00,7,6,1,4,33,28.8,13.21,8044.41,51.44,0.35
FL1020,VT-001,DEL,BOM,2026-04-05 08:45:00,2026-04-05 10:26:00,8,6,1,4,37,26.77,23.59,8464.96,71.67,0.91
FL1021,VT-002,BOM,DEL,2026-04-01 05:00:00,2026-04-01 06:30:00,5,2,0,4,87,27.99,21.07,3492.56,84.63,0.68
FL1022,VT-002,DEL,CCU,2026-04-01 07:57:00,2026-04-01 09:34:00,7,2,0,4,62,27.19,9.56,5416.86,80.9,0.9
FL1023,VT-002,CCU,MAA,2026-04-01 10:36:00,2026-04-01 11:55:00,10,2,0,4,72,28.69,5.14,6085.98,60.87,0.46
FL1024,VT-002,BOM,DEL,2026-04-01 21:07:00,2026-04-01 22:14:00,21,2,0,4,81,28.63,23.86,4585.62,65.94,0.79
FL1025,VT-002,DEL,CCU,2026-04-01 23:35:00,2026-04-02 01:03:00,23,2,0,4,69,26.79,12.27,9774.26,88.12,0.48
FL1026,VT-002,CCU,MAA,2026-04-02 02:12:00,2026-04-02 04:17:00,2,3,0,4,48,22.32,10.7,2295.1,70.48,0.65
FL1027,VT-002,BOM,DEL,2026-04-02 13:05:00,2026-04-02 14:10:00,13,3,0,4,44,29.89,6.03,4229.17,85.41,0.47
FL1028,VT-002,DEL,CCU,2026-04-02 14:54:00,2026-04-02 16:24:00,14,3,0,4,68,29.86,24.71,3936.44,73.61,0.83
FL1029,VT-002,CCU,MAA,2026-04-02 17:32:00,2026-04-02 19:58:00,17,3,0,4,69,25.33,9.75,7825.73,58.39,0.74
FL1030,VT-002,BOM,DEL,2026-04-03 05:07:00,2026-04-03 06:51:00,5,4,0,4,46,32.35,6.81,8682.42,56.04,0.43
FL1031,VT-002,DEL,CCU,2026-04-03 07:37:00,2026-04-03 09:56:00,7,4,0,4,44,38.76,5.82,6727.14,73.88,0.31
FL1032,VT-002,CCU,MAA,2026-04-03 10:40:00,2026-04-03 12:12:00,10,4,0,4,71,23.8,17.9,3394.93,74.55,0.57
FL1033,VT-002,BOM,DEL,2026-04-03 21:23:00,2026-04-03 23:52:00,21,4,0,4,56,30.27,23.73,3100.17,57.05,0.38
FL1034,VT-002,DEL,CCU,2026-04-04 00:48:00,2026-04-04 03:02:00,0,5,1,4,73,33.25,21.34,6441.61,66.48,0.47
FL1035,VT-002,CCU,MAA,2026-04-04 04:15:00,2026-04-04 06:16:00,4,5,1,4,34,25.08,6.86,9177.73,85.02,0.74
FL1036,VT-002,BOM,DEL,2026-04-04 14:50:00,2026-04-04 16:17:00,14,5,1,4,67,25.05,19.52,9176.88,84.35,0.85
FL1037,VT-002,DEL,CCU,2026-04-04 17:24:00,2026-04-04 19:08:00,17,5,1,4,72,24.72,17.84,2673.12,48.08,0.93
FL1038,VT-002,CCU,MAA,2026-04-04 20:20:00,2026-04-04 21:22:00,20,5,1,4,34,31.17,5.1,3286.46,67.44,0.78
FL1039,VT-002,BOM,DEL,2026-04-05 05:56:00,2026-04-05 08:01:00,5,6,1,4,37,27.14,18.04,3794.15,75.61,0.47
FL1040,VT-002,DEL,CCU,2026-04-05 08:38:00,2026-04-05 10:08:00,8,6,1,4,66,34.63,17.99,8793.79,72.88,0.7
FL1041,VT-002,CCU,MAA,2026-04-05 11:14:00,2026-04-05 13:40:00,11,6,1,4,71,26.72,6.87,4941.73,53.26,0.47
FL1042,VT-003,BOM,DEL,2026-04-01 06:00:00,2026-04-01 08:28:00,6,2,0,4,61,29.69,22.84,7049.11,79.74,0.65
FL1043,VT-003,DEL,CCU,2026-04-01 09:29:00,2026-04-01 11:15:00,9,2,0,4,52,31.36,16.54,5940.14,49.76,0.81
FL1044,VT-003,CCU,MAA,2026-04-01 12:07:00,2026-04-01 14:18:00,12,2,0,4,89,25.72,23.81,9631.43,85.74,0.56
FL1045,VT-003,BOM,DEL,2026-04-01 23:47:00,2026-04-02 01:22:00,23,2,0,4,85,31.93,5.31,9426.55,61.41,0.98
FL1046,VT-003,DEL,CCU,2026-04-02 02:47:00,2026-04-02 03:57:00,2,3,0,4,79,26.61,22.02,4535.38,48.47,0.69
FL1047,VT-003,CCU,MAA,2026-04-02 05:16:00,2026-04-02 06:51:00,5,3,0,4,32,23.94,23.72,7568.24,68.5,0.37
FL1048,VT-003,BOM,DEL,2026-04-02 15:23:00,2026-04-02 16:53:00,15,3,0,4,51,30.23,22.55,7926.15,74.85,0.79
FL1049,VT-003,DEL,CCU,2026-04-02 17:44:00,2026-04-02 18:59:00,17,3,0,4,65,25.43,12.19,4348.73,80.47,0.87
FL1050,VT-003,CCU,MAA,2026-04-02 20:04:00,2026-04-02 21:57:00,20,3,0,4,63,32.06,20.97,7199.71,75.1,0.86
FL1051,VT-003,BOM,DEL,2026-04-03 07:00:00,2026-04-03 08:16:00,7,4,0,4,84,45.41,22.8,4703.96,58.78,0.37
FL1052,VT-003,DEL,CCU,2026-04-03 09:40:00,2026-04-03 11:26:00,9,4,0,4,90,28.06,14.31,6341.16,54.33,0.71
FL1053,VT-003,CCU,MAA,2026-04-03 12:56:00,2026-04-03 14:28:00,12,4,0,4,87,30.33,5.61,2298.79,81.13,0.55
FL1054,VT-003,BOM,DEL,2026-04-03 23:55:00,2026-04-04 01:27:00,23,4,0,4,34,30.26,20.4,3726.57,71.14,0.36
FL1055,VT-003,DEL,CCU,2026-04-04 02:01:00,2026-04-04 04:05:00,2,5,1,4,77,25.69,6.03,6250.84,67.03,0.75
FL1056,VT-003,CCU,MAA,2026-04-04 05:22:00,2026-04-04 06:29:00,5,5,1,4,31,21.9,20.9,4166.66,61.95,0.35
FL1057,VT-003,BOM,DEL,2026-04-04 15:00:00,2026-04-04 16:42:00,15,5,1,4,56,30.75,5.51,9701.19,81.8,0.79
FL1058,VT-003,DEL,CCU,2026-04-04 17:38:00,2026-04-04 19:17:00,17,5,1,4,78,25.2,8.13,4001.94,67.46,0.8
FL1059,VT-003,CCU,MAA,2026-04-04 20:35:00,2026-04-04 22:17:00,20,5,1,4,87,28.66,18.2,4239.47,87.74,0.82
FL1060,VT-003,BOM,DEL,2026-04-05 07:44:00,2026-04-05 08:59:00,7,6,1,4,75,38.49,13.39,3981.85,57.8,0.83
FL1061,VT-003,DEL,CCU,2026-04-05 10:14:00,2026-04-05 12:33:00,10,6,1,4,76,34.13,5.29,2928.58,42.3,0.33
FL1062,VT-003,CCU,MAA,2026-04-05 13:49:00,2026-04-05 15:41:00,13,6,1,4,54,31.78,14.48,2782.67,64.58,0.63
FL1063,VT-004,BLR,HYD,2026-04-01 05:00:00,2026-04-01 06:34:00,5,2,0,4,47,33.1,8.46,5470.81,59.93,0.73
FL1064,VT-004,HYD,PNQ,2026-04-01 07:21:00,2026-04-01 09:12:00,7,2,0,4,83,28.24,12.49,7006.88,65.16,0.9
FL1065,VT-004,PNQ,DEL,2026-04-01 10:35:00,2026-04-01 12:43:00,10,2,0,4,70,30.52,18.17,3303.48,43.53,0.75
FL1066,VT-004,BLR,HYD,2026-04-01 21:53:00,2026-04-01 23:15:00,21,2,0,4,69,30.28,23.8,6603.79,59.41,0.75
FL1067,VT-004,HYD,PNQ,2026-04-02 00:24:00,2026-04-02 02:27:00,0,3,0,4,86,28.46,14.17,6364.93,87.07,0.57
FL1068,VT-004,PNQ,DEL,2026-04-02 03:53:00,2026-04-02 06:20:00,3,3,0,4,74,31.12,6.42,4551.81,82.24,0.32
FL1069,VT-004,BLR,HYD,2026-04-02 15:34:00,2026-04-02 17:48:00,15,3,0,4,48,27.51,21.29,4254.84,45.91,0.79
FL1070,VT-004,HYD,PNQ,2026-04-02 18:36:00,2026-04-02 20:25:00,18,3,0,4,76,33.6,19.7,8427.85,54.1,0.42
FL1071,VT-004,PNQ,DEL,2026-04-02 21:41:00,2026-04-02 23:08:00,21,3,0,4,65,31.23,20.01,8454.68,89.53,0.59
FL1072,VT-004,BLR,HYD,2026-04-03 08:13:00,2026-04-03 09:50:00,8,4,0,4,56,35.11,11.82,9446.06,82.92,0.6
FL1073,VT-004,HYD,PNQ,2026-04-03 10:46:00,2026-04-03 12:03:00,10,4,0,4,38,27.63,20.02,8036.34,45.16,0.93
FL1074,VT-004,PNQ,DEL,2026-04-03 12:41:00,2026-04-03 13:53:00,12,4,0,4,85,35.22,11.4,9164.19,59.46,0.31
FL1075,VT-004,BLR,HYD,2026-04-03 23:18:00,2026-04-04 01:00:00,23,4,0,4,48,30.08,23.11,2730.29,55.97,0.97
FL1076,VT-004,HYD,PNQ,2026-04-04 01:48:00,2026-04-04 03:22:00,1,5,1,4,57,30.39,17.64,5587.56,54.66,0.53
FL1077,VT-004,PNQ,DEL,2026-04-04 04:19:00,2026-04-04 05:47:00,4,5,1,4,49,32.38,18.45,8019.0,79.58,0.85
FL1078,VT-004,BLR,HYD,2026-04-04 14:36:00,2026-04-04 16:47:00,14,5,1,4,30,29.95,6.15,6396.23,62.08,0.92
FL1079,VT-004,HYD,PNQ,2026-04-04 17:17:00,2026-04-04 18:49:00,17,5,1,4,63,26.41,12.02,2936.54,47.15,0.83
FL1080,VT-004,PNQ,DEL,2026-04-04 19:52:00,2026-04-04 21:38:00,19,5,1,4,45,26.71,6.68,7607.75,43.64,0.88
FL1081,VT-004,BLR,HYD,2026-04-05 06:23:00,2026-04-05 07:30:00,6,6,1,4,51,30.97,19.12,2650.79,44.24,0.99
FL1082,VT-004,HYD,PNQ,2026-04-05 08:21:00,2026-04-05 10:03:00,8,6,1,4,80,24.21,21.26,9577.99,89.3,0.83
FL1083,VT-004,PNQ,DEL,2026-04-05 11:23:00,2026-04-05 13:19:00,11,6,1,4,69,24.37,12.53,2668.01,78.86,0.69
FL1084,VT-005,BOM,DEL,2026-04-01 06:00:00,2026-04-01 08:12:00,6,2,0,4,65,33.43,7.22,5941.0,40.57,0.63
FL1085,VT-005,DEL,CCU,2026-04-01 09:17:00,2026-04-01 11:15:00,9,2,0,4,87,29.36,6.13,2950.54,45.88,0.75
FL1086,VT-005,CCU,MAA,2026-04-01 12:42:00,2026-04-01 14:47:00,12,2,0,4,42,32.08,24.24,4998.96,54.29,0.91
FL1087,VT-005,BOM,DEL,2026-04-01 23:29:00,2026-04-02 00:47:00,23,2,0,4,51,36.13,9.47,9705.78,40.61,0.98
FL1088,VT-005,DEL,CCU,2026-04-02 01:38:00,2026-04-02 02:40:00,1,3,0,4,46,30.9,6.48,6430.83,88.47,0.67
FL1089,VT-005,CCU,MAA,2026-04-02 03:26:00,2026-04-02 05:51:00,3,3,0,4,46,30.05,17.59,7565.99,62.73,0.74
FL1090,VT-005,BOM,DEL,2026-04-02 14:37:00,2026-04-02 16:15:00,14,3,0,4,67,33.49,5.91,4247.71,87.52,0.92
FL1091,VT-005,DEL,CCU,2026-04-02 17:22:00,2026-04-02 18:41:00,17,3,0,4,49,30.73,14.11,6961.06,53.87,0.43
FL1092,VT-005,CCU,MAA,2026-04-02 19:30:00,2026-04-02 21:06:00,19,3,0,4,68,21.5,16.67,2621.88,88.72,0.99
FL1093,VT-005,BOM,DEL,2026-04-03 06:14:00,2026-04-03 07:15:00,6,4,0,4,40,27.9,18.96,6288.77,55.48,0.87
FL1094,VT-005,DEL,CCU,2026-04-03 07:55:00,2026-04-03 09:57:00,7,4,0,4,90,26.41,23.22,8580.3,87.49,0.81
FL1095,VT-005,CCU,MAA,2026-04-03 11:27:00,2026-04-03 13:00:00,11,4,0,4,36,31.97,17.27,5345.94,86.64,0.91
FL1096,VT-005,BOM,DEL,2026-04-03 21:36:00,2026-04-03 22:54:00,21,4,0,4,79,34.72,24.75,3203.34,69.71,0.57
FL1097,VT-005,DEL,CCU,2026-04-04 00:13:00,2026-04-04 01:20:00,0,5,1,4,79,28.12,24.4,8736.95,81.92,0.63
FL1098,VT-005,CCU,MAA,2026-04-04 02:39:00,2026-04-04 04:48:00,2,5,1,4,43,23.62,6.13,8917.78,80.65,1.0
FL1099,VT-005,BOM,DEL,2026-04-04 13:31:00,2026-04-04 15:53:00,13,5,1,4,56,27.6,24.93,6443.45,78.45,0.96
FL1100,VT-005,DEL,CCU,2026-04-04 16:49:00,2026-04-04 17:57:00,16,5,1,4,63,28.2,14.01,3033.28,87.7,0.72
FL1101,VT-005,CCU,MAA,2026-04-04 19:00:00,2026-04-04 21:00:00,19,5,1,4,69,32.49,9.57,7373.61,70.91,0.55
FL1102,VT-005,BOM,DEL,2026-04-05 06:09:00,2026-04-05 08:04:00,6,6,1,4,59,31.33,15.41,8178.55,66.01,0.9
FL1103,VT-005,DEL,CCU,2026-04-05 09:03:00,2026-04-05 11:19:00,9,6,1,4,66,27.01,16.04,6487.5,83.83,0.58
FL1104,VT-005,CCU,MAA,2026-04-05 12:25:00,2026-04-05 14:34:00,12,6,1,4,40,32.58,19.08,3703.71,46.82,0.31
FL1105,VT-006,DEL,BOM,2026-04-01 00:00:00,2026-04-01 02:09:00,0,2,0,4,74,35.47,12.01,6719.34,59.61,0.61
FL1106,VT-006,BOM,BLR,2026-04-01 03:23:00,2026-04-01 05:04:00,3,2,0,4,36,28.92,15.28,8269.22,59.83,0.74
FL1107,VT-006,BLR,HYD,2026-04-01 05:40:00,2026-04-01 07:43:00,5,2,0,4,62,32.87,22.25,9596.16,47.35,0.95
FL1108,VT-006,DEL,BOM,2026-04-01 16:45:00,2026-04-01 18:14:00,16,2,0,4,76,23.19,14.18,9840.26,64.63,0.53
FL1109,VT-006,BOM,BLR,2026-04-01 19:30:00,2026-04-01 21:16:00,19,2,0,4,38,29.78,17.67,3921.16,43.79,0.39
FL1110,VT-006,BLR,HYD,2026-04-01 21:54:00,2026-04-01 23:09:00,21,2,0,4,76,31.47,8.64,4765.34,84.84,0.63
FL1111,VT-006,DEL,BOM,2026-04-02 08:25:00,2026-04-02 09:56:00,8,3,0,4,46,26.24,18.35,3378.56,49.61,0.33
FL1112,VT-006,BOM,BLR,2026-04-02 10:42:00,2026-04-02 12:26:00,10,3,0,4,72,27.88,8.54,2709.62,46.03,0.62
FL1113,VT-006,BLR,HYD,2026-04-02 13:38:00,2026-04-02 15:35:00,13,3,0,4,71,26.83,9.13,4914.16,65.17,0.78
FL1114,VT-006,DEL,BOM,2026-04-03 00:46:00,2026-04-03 03:09:00,0,4,0,4,40,27.2,22.47,9366.98,43.05,0.49
FL1115,VT-006,BOM,BLR,2026-04-03 03:49:00,2026-04-03 05:26:00,3,4,0,4,85,30.86,21.12,7986.08,49.23,0.45
FL1116,VT-006,BLR,HYD,2026-04-03 06:51:00,2026-04-03 08:54:00,6,4,0,4,44,28.9,17.37,4951.31,63.13,0.82
FL1117,VT-006,DEL,BOM,2026-04-03 17:38:00,2026-04-03 19:52:00,17,4,0,4,64,20.79,5.73,4019.5,75.67,0.93
FL1118,VT-006,BOM,BLR,2026-04-03 20:56:00,2026-04-03 22:58:00,20,4,0,4,50,42.32,7.14,5579.3,66.63,0.47
FL1119,VT-006,BLR,HYD,2026-04-03 23:48:00,2026-04-04 00:58:00,23,4,0,4,56,34.48,10.38,5018.27,41.0,0.53
FL1120,VT-006,DEL,BOM,2026-04-04 09:54:00,2026-04-04 11:16:00,9,5,1,4,45,27.41,7.4,9124.22,69.68,0.78
FL1121,VT-006,BOM,BLR,2026-04-04 12:01:00,2026-04-04 13:11:00,12,5,1,4,71,25.67,20.78,5987.54,44.35,0.68
FL1122,VT-006,BLR,HYD,2026-04-04 14:22:00,2026-04-04 15:50:00,14,5,1,4,70,36.09,13.63,3020.64,54.19,0.55
FL1123,VT-006,DEL,BOM,2026-04-05 01:00:00,2026-04-05 02:33:00,1,6,1,4,39,32.16,17.92,6566.23,57.8,0.99
FL1124,VT-006,BOM,BLR,2026-04-05 03:12:00,2026-04-05 05:36:00,3,6,1,4,71,24.41,7.04,3222.87,52.3,0.41
FL1125,VT-006,BLR,HYD,2026-04-05 06:47:00,2026-04-05 07:59:00,6,6,1,4,67,32.25,8.73,4280.76,48.67,0.93
FL1126,VT-007,MAA,CCU,2026-04-01 05:00:00,2026-04-01 06:57:00,5,2,0,4,67,30.19,13.21,9859.03,45.6,0.58
FL1127,VT-007,CCU,DEL,2026-04-01 08:04:00,2026-04-01 09:42:00,8,2,0,4,52,26.68,24.39,8924.06,80.85,0.48
FL1128,VT-007,DEL,BOM,2026-04-01 10:34:00,2026-04-01 11:41:00,10,2,0,4,63,32.0,23.59,6454.1,68.58,0.5
FL1129,VT-007,MAA,CCU,2026-04-01 20:44:00,2026-04-01 22:40:00,20,2,0,4,56,26.09,20.39,3496.35,56.18,0.6
FL1130,VT-007,CCU,DEL,2026-04-01 23:36:00,2026-04-02 01:25:00,23,2,0,4,84,23.49,7.3,6884.96,54.43,0.71
FL1131,VT-007,DEL,BOM,2026-04-02 02:49:00,2026-04-02 04:43:00,2,3,0,4,44,30.19,8.09,5849.12,66.63,0.34
FL1132,VT-007,MAA,CCU,2026-04-02 13:27:00,2026-04-02 15:09:00,13,3,0,4,58,26.56,6.27,9919.68,56.12,0.87
FL1133,VT-007,CCU,DEL,2026-04-02 16:07:00,2026-04-02 18:26:00,16,3,0,4,50,28.46,10.09,7452.02,78.01,0.72
FL1134,VT-007,DEL,BOM,2026-04-02 19:16:00,2026-04-02 21:01:00,19,3,0,4,41,20.11,11.98,9436.23,81.53,0.98
FL1135,VT-007,MAA,CCU,2026-04-03 05:42:00,2026-04-03 07:26:00,5,4,0,4,40,26.81,7.49,7846.94,86.92,0.43
FL1136,VT-007,CCU,DEL,2026-04-03 08:06:00,2026-04-03 09:25:00,8,4,0,4,30,30.35,16.49,8734.63,46.99,0.86
FL1137,VT-007,DEL,BOM,2026-04-03 09:55:00,2026-04-03 11:15:00,9,4,0,4,75,29.38,9.03,3309.25,48.21,0.87
FL1138,VT-007,MAA,CCU,2026-04-03 20:30:00,2026-04-03 21:31:00,20,4,0,4,63,31.16,12.18,9017.6,59.62,0.87
FL1139,VT-007,CCU,DEL,2026-04-03 22:34:00,2026-04-04 00:29:00,22,4,0,4,56,38.3,13.78,5015.56,63.13,0.51
FL1140,VT-007,DEL,BOM,2026-04-04 01:25:00,2026-04-04 02:49:00,1,5,1,4,41,30.07,9.64,9196.6,59.19,0.68
FL1141,VT-007,MAA,CCU,2026-04-04 11:30:00,2026-04-04 12:49:00,11,5,1,4,60,36.71,23.13,6993.9,45.84,0.96
FL1142,VT-007,CCU,DEL,2026-04-04 13:49:00,2026-04-04 15:47:00,13,5,1,4,83,24.09,7.79,8352.2,71.0,0.67
FL1143,VT-007,DEL,BOM,2026-04-04 17:10:00,2026-04-04 19:04:00,17,5,1,4,48,34.58,22.88,8308.78,47.58,0.52
FL1144,VT-007,MAA,CCU,2026-04-05 03:52:00,2026-04-05 06:20:00,3,6,1,4,89,33.32,5.67,6559.12,78.12,0.91
FL1145,VT-007,CCU,DEL,2026-04-05 07:49:00,2026-04-05 09:10:00,7,6,1,4,78,26.58,11.84,8570.06,45.53,0.89
FL1146,VT-007,DEL,BOM,2026-04-05 10:28:00,2026-04-05 11:35:00,10,6,1,4,33,28.92,20.95,3199.34,51.46,0.81
FL1147,VT-008,MAA,CCU,2026-04-01 00:00:00,2026-04-01 01:09:00,0,2,0,4,52,26.08,19.4,7129.18,74.7,0.68
FL1148,VT-008,CCU,DEL,2026-04-01 02:01:00,2026-04-01 03:56:00,2,2,0,4,69,26.9,8.63,9267.6,69.17,0.58
FL1149,VT-008,DEL,BOM,2026-04-01 05:05:00,2026-04-01 06:33:00,5,2,0,4,71,25.02,14.24,9578.27,47.67,0.71
FL1150,VT-008,MAA,CCU,2026-04-01 15:44:00,2026-04-01 16:57:00,15,2,0,4,45,39.78,5.36,8976.99,86.61,0.7
FL1151,VT-008,CCU,DEL,2026-04-01 17:42:00,2026-04-01 19:26:00,17,2,0,4,71,30.52,18.93,9380.0,75.36,0.41
FL1152,VT-008,DEL,BOM,2026-04-01 20:37:00,2026-04-01 22:24:00,20,2,0,4,66,37.53,13.48,7891.55,86.72,0.95
FL1153,VT-008,MAA,CCU,2026-04-02 07:30:00,2026-04-02 09:09:00,7,3,0,4,42,35.38,14.02,2905.9,89.24,0.89
FL1154,VT-008,CCU,DEL,2026-04-02 09:51:00,2026-04-02 11:20:00,9,3,0,4,62,30.22,16.83,5192.02,42.74,0.53
FL1155,VT-008,DEL,BOM,2026-04-02 12:22:00,2026-04-02 13:29:00,12,3,0,4,85,34.38,21.06,2037.06,56.67,0.58
FL1156,VT-008,MAA,CCU,2026-04-02 22:54:00,2026-04-03 00:37:00,22,3,0,4,43,33.29,11.93,4775.63,76.88,0.62
FL1157,VT-008,CCU,DEL,2026-04-03 01:20:00,2026-04-03 03:47:00,1,4,0,4,71,30.29,9.49,5619.52,47.04,0.42
FL1158,VT-008,DEL,BOM,2026-04-03 04:58:00,2026-04-03 07:02:00,4,4,0,4,66,19.21,23.3,4899.15,69.03,0.74
FL1159,VT-008,MAA,CCU,2026-04-03 16:08:00,2026-04-03 17:53:00,16,4,0,4,35,29.78,5.26,7308.3,48.9,0.97
FL1160,VT-008,CCU,DEL,2026-04-03 18:28:00,2026-04-03 20:27:00,18,4,0,4,73,28.92,6.71,9974.99,65.11,0.72
FL1161,VT-008,DEL,BOM,2026-04-03 21:40:00,2026-04-03 22:50:00,21,4,0,4,55,25.57,6.34,7999.68,50.5,0.93
FL1162,VT-008,MAA,CCU,2026-04-04 07:45:00,2026-04-04 09:55:00,7,5,1,4,58,27.71,5.73,5776.54,68.24,0.35
FL1163,VT-008,CCU,DEL,2026-04-04 10:53:00,2026-04-04 12:52:00,10,5,1,4,53,27.81,20.51,5626.31,66.22,0.61
FL1164,VT-008,DEL,BOM,2026-04-04 13:45:00,2026-04-04 15:14:00,13,5,1,4,88,34.98,8.1,3455.43,83.09,0.96
FL1165,VT-008,MAA,CCU,2026-04-05 00:42:00,2026-04-05 02:48:00,0,6,1,4,44,21.71,12.47,4165.96,72.2,0.59
FL1166,VT-008,CCU,DEL,2026-04-05 03:32:00,2026-04-05 05:47:00,3,6,1,4,30,33.74,5.54,3775.78,51.55,0.77
FL1167,VT-008,DEL,BOM,2026-04-05 06:17:00,2026-04-05 07:46:00,6,6,1,4,46,35.09,5.39,2832.87,80.0,0.42
FL1168,VT-009,BLR,HYD,2026-04-01 02:00:00,2026-04-01 03:10:00,2,2,0,4,36,25.11,6.99,3945.38,76.11,0.9
FL1169,VT-009,HYD,PNQ,2026-04-01 03:46:00,2026-04-01 06:08:00,3,2,0,4,53,32.85,21.6,5177.47,73.4,0.44
FL1170,VT-009,PNQ,DEL,2026-04-01 07:01:00,2026-04-01 08:55:00,7,2,0,4,68,32.37,5.26,2684.07,50.39,0.32
FL1171,VT-009,BLR,HYD,2026-04-01 18:03:00,2026-04-01 20:00:00,18,2,0,4,68,28.76,8.63,6664.33,61.07,0.92
FL1172,VT-009,HYD,PNQ,2026-04-01 21:08:00,2026-04-01 22:41:00,21,2,0,4,44,27.91,10.19,5037.54,69.51,0.49
FL1173,VT-009,PNQ,DEL,2026-04-01 23:25:00,2026-04-02 01:38:00,23,2,0,4,81,34.2,17.48,5275.29,67.6,0.61
FL1174,VT-009,BLR,HYD,2026-04-02 10:59:00,2026-04-02 13:24:00,10,3,0,4,60,30.84,20.27,3120.91,83.42,0.64
FL1175,VT-009,HYD,PNQ,2026-04-02 14:24:00,2026-04-02 15:24:00,14,3,0,4,82,29.61,22.89,8398.84,61.26,0.32
FL1176,VT-009,PNQ,DEL,2026-04-02 16:46:00,2026-04-02 18:51:00,16,3,0,4,30,31.23,17.67,4063.1,46.97,0.88
FL1177,VT-009,BLR,HYD,2026-04-03 03:21:00,2026-04-03 05:31:00,3,4,0,4,43,23.16,24.69,6205.52,48.58,0.49
FL1178,VT-009,HYD,PNQ,2026-04-03 06:14:00,2026-04-03 08:22:00,6,4,0,4,61,30.78,10.48,6433.42,72.57,0.88
FL1179,VT-009,PNQ,DEL,2026-04-03 09:23:00,2026-04-03 11:36:00,9,4,0,4,45,26.09,9.13,2087.97,46.84,0.93
FL1180,VT-009,BLR,HYD,2026-04-03 20:21:00,2026-04-03 21:47:00,20,4,0,4,58,31.02,17.01,7320.29,48.77,0.94
FL1181,VT-009,HYD,PNQ,2026-04-03 22:45:00,2026-04-04 00:48:00,22,4,0,4,85,33.93,13.38,5065.11,65.95,0.33
FL1182,VT-009,PNQ,DEL,2026-04-04 02:13:00,2026-04-04 04:18:00,2,5,1,4,76,32.07,6.66,6825.22,52.27,0.57
